Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Baker Street,Gerry Rafferty,5gOd6zDC8vhlYjqbQdJVWP,0.497,0.349,7,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627
Ballroom Blitz,Sweet,3GvM3WkkG1Bco2BCfRyRD7,0.641,0.842,11,-8.701,0,0.0687,0.0316,0.000646,0.0568,0.884,108.548,243960
Beach Baby,First Class,3gOsZGaMej7EMVy6VBjxHM,0.4,0.73,7,-9.633,1,0.054,0.000968,0.0179,0.0612,0.442,134.602,293453
Bobbie Sue,The Oak Ridge Boys,0tcAmyvRR9jUbGTKn6m1NR,0.783,0.754,7,-12.717,1,0.0406,0.312,0.0416,0.107,0.97,134.009,171800
Boulevard,Jackson Browne,1XAWMF1rJhCYPUHhjtbCh2,0.53,0.875,9,-6.495,1,0.0581,0.495,0.0,0.213,0.812,141.306,200173
The Boys Are Back In Town,Thin Lizzy,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720
Brandy (You're a Fine Girl),Looking Glass,2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,186827
Break My Stride,Matthew Wilder,2ZqT3GcisHUBsEaqhLGHwU,0.901,0.654,10,-10.15,1,0.0655,0.2,0.0,0.165,0.781,110.131,180240
Bring It Back Again,Stray Cats,57lr1ePBs4M9ZietZ1kK5o,0.418,0.967,2,-5.831,1,0.0349,0.0537,0.0,0.174,0.932,121.654,186960
Bus Stop - 1997 Remaster,The Hollies,0K3i1MJwU4v0Aq0VdYZnPg,0.625,0.76,4,-5.591,0,0.0388,0.0614,0.0,0.116,0.697,136.541,175160
The Candy Man,Sammy Davis Jr.,6jGb3Hhy6Dfhci1Eb3au0R,0.635,0.53,0,-11.179,1,0.0333,0.817,0.000108,0.341,0.808,131.188,192920
Celebration,Kool & The Gang,12LyiOOvhDZrio6pvX8I47,0.796,0.849,1,-5.89,1,0.0561,0.0458,0.0143,0.083,0.936,121.284,223880
Champagne Jam,Atlanta Rhythm Section,79uswZ7pqbHIqERDFqBDjS,0.5,0.598,9,-11.622,1,0.0385,0.0363,0.153,0.0838,0.657,122.35,273227
Changes,Yes,6eKPSagnVU7gygR8Dm132W,0.546,0.904,2,-7.082,0,0.0534,0.436,0.00329,0.083,0.327,125.193,380120
Chevy Van (Original),Sammy Johns,2EOik7MRCtR3eUQUAR1bOE,0.422,0.469,9,-16.145,1,0.0351,0.526,0.0,0.156,0.701,152.28,173145
Chuck E's in Love,Rickie Lee Jones,3Z7mFVDy2izZNCvUWGy13Z,0.797,0.398,9,-10.789,1,0.0664,0.288,0.0,0.104,0.75,113.204,209613
Clair,Gilbert O'Sullivan,6wAxiqfZzbxPUuvVan1ZuU,0.697,0.553,9,-6.911,1,0.0324,0.563,0.0,0.212,0.682,105.181,182320
Cliffs Of Dover - Instrumental,Eric Johnson,5qm0KiVKMXW1kq6VrnIhz5,0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,249768
Come Dancing,The Kinks,2FOeAKpaJrsJYJT21I4KQN,0.489,0.743,0,-11.963,0,0.0668,0.242,2.22e-05,0.0748,0.91,153.016,235413
Crazy Little Thing Called Love,Queen,2NpKgRCZfFb8fVmvk16iMx,0.627,0.569,0,-13.453,1,0.0421,0.499,0.0,0.147,0.743,76.826,163427
Crocodile Rock,Elton John,5cmIWIBxZj9HpqrVtj4KWG,0.618,0.78,4,-7.653,0,0.0369,0.0423,6.1e-06,0.0683,0.968,149.933,235280
The Curly Shuffle,Jump 'N' The Saddle Band,5Pijq9ImAu5xweS1lxAKwK,0.632,0.484,9,-11.772,1,0.104,0.156,0.0,0.153,0.873,80.687,174707
Dan the Banjo Man,Dan The Banjo Man,1PzK7QnAtEqEdlqHh5PAbN,0.439,0.936,10,-9.771,1,0.0476,0.245,0.96,0.0864,0.265,88.25,187800
The Death of Suzzy Roche,The Roches,4gFN7Pwb8IUqncL74NGZ78,0.777,0.317,2,-13.845,1,0.0829,0.336,0.0,0.0418,0.717,133.192,181267
The Devil Went Down to Georgia,The Charlie Daniels Band,4SrIUnxfrPVHw9ZxLwe7zf,0.524,0.633,0,-9.195,1,0.0548,0.155,0.0,0.0922,0.913,134.61,214667
Dream Weaver,Gary Wright,74DrA5fFoGSy4xgkZarZtP,0.266,0.389,4,-13.682,1,0.0305,0.244,1.42e-06,0.0688,0.148,140.243,256173
Dreamer - Remastered 2010,Supertramp,2MUgwwSI1OlY4Mds5XoFNg,0.664,0.414,5,-14.113,1,0.0675,0.864,0.0367,0.0813,0.831,147.883,213236
